Session,Trader,PnL_Original,Euro
1775039160_b3dbe6da,LAB_2,1,0.5
1775039161_4a05ad3f,LAB_7,-66,0
1775039161_8c2ae97b,LAB_11,-38,0
1775039161_ad7bbb7f,LAB_10,-8,0
1775039162_44396b8d,LAB_16,-65,0
1775039162_fc93ece3,LAB_5,18,9
1775039163_bfe9a780,LAB_12,-111,0
1775039165_074714c3,LAB_14,-22,0
1775039170_323f46ed,LAB_15,-115,0
1775039172_05a9077d,LAB_6,22,10
1775039172_5b8d41f4,LAB_4,-63,0
1775039177_7f59d67f,LAB_3,-30,0
1775039178_58e4ea91,LAB_13,-106,0
1775039190_a4034bcb,LAB_9,40,10
1775039205_e3c27a10,LAB_8,105,10
1775040514_0eda5e69,LAB_30,,
1775040520_784d1741,LAB_34,-2,0
1775040522_2a9b774f,LAB_25,-3,0
1775040524_09f4e427,LAB_33,-1,0
1775040527_818e460a,LAB_35,6,3
1775040536_6058cb3c,LAB_23,,
1775040544_ad415932,LAB_24,-67,0
1775040544_ae668eac,LAB_26,-35,0
1775040546_d19b10aa,LAB_32,65,10
1775040550_b1e86fd1,LAB_22,6,3
1775040570_fec968fa,LAB_36,3,1.5
1775040581_ca0d5f91,LAB_31,-31,0
1775040617_197ed46a,LAB_27,3,1.5
1775040664_583b6761,LAB_29,27,10
1775040700_25daafd7,LAB_28,63,10
1775041703_d2e3f4e5,LAB_46,-56,0
1775041704_bf8fd618,LAB_50,13,6.5
1775041705_8a31be48,LAB_51,19,9.5
1775041706_c6fdb77f,LAB_42,46,10
1775041708_a01b8267,LAB_43,14,7
1775041712_c81500e9,LAB_56,-49,0
1775041712_d099095a,LAB_45,2,1
1775041715_04ff8b36,LAB_54,6,3
1775041720_02f6acfe,LAB_44,27,10
1775041720_86bcabd2,LAB_53,-18,0
1775041912_402a80db,LAB_48,116,10
1775041995_6784a757,LAB_49,-45,0
